neighbourhood,median_price
kensington,2300.0
midtown,6525.0
harlem,2938.5
clinton-hill,3442.5
east-harlem,3000.0
murray-hill,4550.0
bedford-stuyvesant,2750.0
hells-kitchen,4275.0
upper-west-side,4222.5
chinatown,2850.0
south-slope,2900.0
west-village,6525.0
williamsburg,3775.0
fort-greene,3575.0
chelsea,7125.0
crown-heights,2613.5
park-slope,3572.5
windsor-terrace,2750.0
inwood,2013.0
east-village,3650.0
greenpoint,4475.0
bushwick,2875.0
flatbush-ditmas-park,2512.0
lower-east-side,4522.5
prospect-lefferts-gardens,2300.0
long-island-city,4250.0
kips-bay,3432.0
soho,10000.0
upper-east-side,3797.5
prospect-heights,4747.5
washington-heights,2200.0
woodside,2500.0
brooklyn-heights,5099.5
carroll-gardens,3597.5
gowanus,3407.5
flatlands,1767.0
cobble-hill,3250.0
flushing,2550.0
boerum-hill,3418.0
sunnyside,2865.0
dumbo,5572.5
st-george,2550.0
highbridge,2200.0
financial-district,6300.0
ridgewood,2575.0
morningside-heights,2533.5
jamaica,2200.0
middle-village,2237.5
noho,8559.5
ditmars-steinway,2575.0
flatiron-district,6792.5
roosevelt-island,3798.0
greenwich-village,4197.5
little-italy,3200.0
east-flatbush,2400.0
tompkinsville,1400.0
astoria,2950.0
clason-point,2335.0
kingsbridge,3050.0
two-bridges,3525.0
queens-village,2175.0
rockaway-park,1962.5
forest-hills,2550.0
nolita,3522.5
woodlawn,2088.0
university-heights,2350.0
gravesend,1935.5
gramercy-park,5875.0
allerton,3385.0
east-new-york,2097.5
theater-district,5172.5
sheepshead-bay,2047.5
fort-hamilton,2165.5
bensonhurst,1975.0
tribeca,9472.5
shore-acres,2695.0
sunset-park,2075.0
elmhurst,2250.0
brighton-beach,2235.0
jackson-heights,2425.0
cypress-hills,2272.0
st-albans,2055.0
rego-park,2500.0
wakefield,2500.0
bay-ridge,2100.0
spuyten-duyvil,2751.0
stapleton,2450.0
briarwood,2275.0
ozone-park,2199.5
vinegar-hill,3875.0
mott-haven,2300.0
longwood,2075.0
canarsie,2050.5
battery-park-city,7750.0
east-elmhurst,2450.0
morris-heights,2025.0
arverne,1897.5
cambria-heights,2000.0
borough-park,2247.0
bayside,2450.0
downtown-brooklyn,4997.5
port-morris,2549.0
fieldston,2436.0
kew-gardens,2424.0
midwood,2962.5
college-point,2800.0
glendale,2158.5
red-hook,2937.5
richmond-hill,2325.0
bellerose,2500.0
maspeth,3100.0
williamsbridge,2607.0
soundview,1650.0
woodhaven,2100.0
woodrow,3200.0
stuyvesant-town-cooper-village,4272.5
parkchester,1900.0
north-riverdale,2850.0
dyker-heights,1757.5
riverdale,2500.0
kew-gardens-hills,2274.5
bay-terrace,2900.0
claremont-village,2050.0
whitestone,2500.0
fordham-manor,1787.5
brownsville,2046.5
fresh-meadows,1859.0
springfield-gardens,2021.5
howard-beach,2082.0
belle-harbor,2035.0
jamaica-estates,2032.0
van-nest,2000.0
morris-park,2875.0
far-rockaway,2015.5
south-ozone-park,1994.5
corona,2034.5
manhattan-beach,2136.5
marble-hill,1400.0
morrisania,1500.0
hunts-point,1400.0
throgs-neck,2762.0
laurelton,1709.0
holliswood,1875.0
belmont,2400.0
rosedale,2500.0
baychester,3200.0
melrose,2200.0
bergen-beach,1935.0
coney-island,2297.5
bath-beach,2081.5
jamaica-hills,1828.5
hollis,1793.0
westerleigh,1650.0
westchester-square,1750.0
little-neck,2300.0
unionport,1699.5
mill-basin,1859.5
arden-heights,3200.0
